About,Über,
Add,Hinzufügen,
Address,Adresse,
Amended From,Berichtigung von,
Category,Kategorie,
City,Stadt,
Client,Kunde,
Contact,Kontakt,
Contacts,Kontakte,
Country,Land,
Description,Beschreibung,
Designation,Position,
Details,Details,
Draft,Entwurf,
Email,E-Mail,
End Date,Enddatum,
Events,Ereignisse,
External,Extern,
Frappe Support,Frappe Support,
Full Name,Vollständiger Name,
General,Allgemein,
Is Active,Ist aktiv,
Items,Artikel,
Keyboard Shortcuts,Tastaturkürzel,
Left,Links,
Location,Ort,
Name,Name,
Other,Andere,
Phone,Telefon,
Position,Position,
Progress,Fortschritt,
Project,Projekt,
Provider,Anbieter,
Reason,Grund,
Right,Rechts,
Rules,Regeln,
Status,Status,
System Health,Systemgesundheit,
System Manager,System-Manager,
To,An,
Type,Typ,
Value,Wert,
Website,Webseite,
