About,Acerca de,
Add,Agregar,
Address,Dirección,
Amended From,Rectificado Desde,
Category,Categoría,
City,Ciudad,
Client,Cliente,
Contact,Contacto,
Contacts,Contactos,
Country,País,
Details,Detalles,
End Date,Fecha Final,
Events,Eventos,
External,Externo,
Frappe Support,Soporte de Frappe,
Full Name,Nombre completo,
General,General,
Items,Productos,
Keyboard Shortcuts,Atajos de teclado,
Left,Inactivo/Fuera,
Other,Otro,
Position,Posición,
Provider,Proveedor,
Right,derecho,
System Health,Salud del sistema,
