${s.place} (${s.quantity} available),${s.place} (${s.quantity} disponible(s)),
About,A Propos,
Actif,Actif,
Actual Quantity,Quantité réelle,
Add,Ajouter,
Add Notes,Ajouter des notes,
Add items to submit the request,Ajouter des articles pour soumettre la demande,
Address,Adresse,
Alternatives,Alternatives,
Amended From,Modifié depuis,
An assembly cannot contain itself,Un assemblage ne peut pas se contenir lui-même,
An error occured,Une erreur est survenue,
"Any modification of the document must be confirmed by saving in ""Draft"".","""Toute modification du document doit être confirmée en enregistrant en """"Brouillon"""".""",
Article,Article,
Article Place Rules,Règles d'emplacement article,
Article Providers,Prestataires de l'article,
Article to register,Article à enregistrer,
Article to retail,Article à revendre,
Article {0} ({1}) : missing quantity is {2},Article {0} ({1}) : quantité manquante {2},
Article(s) added with success,Article(s) ajouté(s) avec succès,
Article(s) moved with success,Article(s) déplacé(s) avec succès,
Article(s) pulled-out with success,Article(s) retiré(s) avec succès,
Articles Group,Groupe d'articles,
Asked quantity,Quantité demandée,
Assembly,Assemblage,
Assembly Items,Éléments de l'assemblage,
Batch No,N° de lot,
Batch_no,N° de lot,
BoM,Nomenclature,
BoM Definition,Définition de nomenclature,
Booked,Réservé,
By MR,Par DMC,
Carnet de maintenance,Carnet de maintenance,
Carrier,Transporteur,
Category,Catégorie,
Characteristics,Caractéristiques,
Characteristics Unit Link,Lien unité de caractéristique,
Characteristics designation,Désignation des caractéristiques,
Characteristics types,Types de caractéristiques,
Chargement des règles...,Chargement des règles...,
City,Ville,
Client,Client du projet,
Closest Event,Événement le plus proche,
Closest Event Date,Date de l'événement le plus proche,
Closest event date,Date de l'événement le plus proche,
Code SPIE TM,Code SPIE TM,
Company,Société,
Composition,Composition,
Composition Items,Éléments de composition,
Contact,Contact,
Contacts,Contacts,
Conversion Rate,Taux de conversion,
Country,Pays,
Creation DMC,Création DMC,
Currently Booked,Actuellement réservé,
DLU,DLU,
DMC,DMC,
DMC Compositions,Compositions DMC,
DMC Items,Éléments DMC,
DMC Name,Nom DMC,
DMC created with success,DMC créée avec succès,
"DMC not validated, closed",DMC non validée,
DMC partially validated,DMC partiellement validée,
"DMC saved in draft, items reserved",DMC enregistrée en brouillon,
DMC validated,DMC validée,
Delivery Address,Adresse de livraison,
Delivery Date,Date de livraison,
Delivery address,Adresse de livraison,
Delivery date,Date de livraison,
Description,Description,
Designation,Désignation,
Details,Détails,
Disables movements statistics,Désactive les statistiques de mouvements,
Draft,Brouillon,
ES,ES,
Email,Courriel,
End Date,Date de fin,
End Date is before Start Date,La date de fin est antérieure à la date de début,
End of life,Fin de vie,
Event Date,Date de l'événement,
Events,Événements,
Expected Date on Site,Date d'arrivée prévue sur site,
Expected quantity,Quantité attendue,
Expedition,Expédition,
Expiry Date,Date d'expiration,
Exported,Exporté,
External,Externe,
Frappe Support,Support Frappe,
Fréquence de suivi,Fréquence de suivi,
Full Name,Nom Complet,
Fullname,Nom complet,
GLAO User,Utilisateur GLAO,
General,Général,
General details,Détails généraux,
Gestion DMC,Gestion DMC,
Gestion DMC Compositions,Gestion des compositions DMC,
Gestion DMC Items,Gestion des éléments DMC,
Glao App,Glao App,
Hangar logistique,Hangar logistique,
IC,IC,
In the composition,Dans la composition,
Incomplete,Incomplet,
Instance,Instance,
Insufficient Stock available,Stock disponible insuffisant,
Internal Quantity,Quantité interne,
Intervention Date,Date d'intervention,
Is Active,Actif,
Is Assembly,Est un assemblage,
Is Group,Est un groupe,
Is Parent,Est parent,
Is Referenced,Est référencé,
Is Tracked,Est suivi,
Is active,Actif,
Item,Article,
Items,Articles,
Job No,N° de chantier,
Job N°,N° de chantier,
Job no,N° de chantier,
Keyboard Shortcuts,Raccourcis clavier,
L,L,
Last price,Dernier prix,
Lastname,Nom,
Left,Parti,
Location,Localisation,
Location ID,ID de localisation,
Location Name,Nom de la localisation,
Locations for BoM,Localisations pour la nomenclature,
MFG Reference,Référence fabricant,
MR,DMC,
MR BoM,Nomenclature DMC,
MR Items,Éléments DMC,
MR Name,Nom DMC,
Maintenance book,Carnet de maintenance,
Manual,Manuel,
Manufacturer,Fabricant,
Manufacturing Date,Date de fabrication,
Maximum quantity,Quantité maximale,
Minimum quantity,Quantité minimale,
Movement,Mouvement,
Movement Date,Date de mouvement,
Movement Items,Éléments de mouvement,
Name,Nom,
Needs date,Date de besoin,
Never added article :  (),Article jamais ajouté :  (),
Next event date,Date du prochain événement,
No enough items available in stock :  (Maybe too much reserved)quantity on spie tm site :  of which  are reserved,Quantité insuffisante disponible en stock :  (peut-être trop réservée) quantité sur le site SPIE TM :  dont  réservée(s),
"No stock entry for this article, first add an item in 'Stock Entry",Aucune entrée de stock pour cet article,
Nom,Nom,
Nomenclature,Nomenclature,
Nomenclature Items,Éléments de nomenclature,
Nomenclature Name,Nom de la nomenclature,
Not Available,Non disponible,
Not Provided,Non fourni,
Not SI,Hors SI,
Not served,Non servi,
Notes,Notes,
OEM P/N,OEM P/N,
Old Parent,Ancien parent,
One of the serial numbers already exists in Current Stock,Un des numéros de série existe déjà dans le stock actuel,
Other,Autre,
Owner,Propriétaire,
P,P,
PR Reference,Référence DA,
Parent Articles Group,Groupe d'articles parent,
Parent Location,Localisation parente,
Partially validated,Partiellement validé,
Passed,Passé,
Periodicity in days,Périodicité en jours,
Phone,Téléphone,
Place,Emplacement,
Place Rules,Règles d'emplacement,
Place for litigation,Emplacement pour litige,
Place to stock,Emplacement de stockage,
Place(s),Emplacement(s),
Places,Emplacements,
Places Rules Main,Règles principales des emplacements,
Places Stock,Stock des emplacements,
Position,Fonction,
Postcode,Code postal,
Previous Reference,Référence précédente,
Price,Prix,
Price Date,Date du prix,
Print LoF,Imprimer LoF,
Progress,Progression,
Project,Projet,
Project Title,Titre du projet,
Project client,Client du projet,
Projects,Projets,
Provider,Fournisseur,
Providers,Prestataires,
Pull,Retrait,
Purchase Command,Commande d'achat,
Purchase Command Items,Éléments de la commande d'achat,
Purchase Request,Demande d'achat,
Purchase Request Items,Éléments de la demande d'achat,
Quantities,Quantités,
Quantity,Quantité,
Quantity Requested,Quantité demandée,
Quantity to Move,Quantité à déplacer,
R,R,
RA,RA,
Reason,Raison,
Ref Events,Événements de référence,
Ref constructeur,Ref constructeur,
Reference Details,Détails de la référence,
Reference man,Référent,
Referenced article added to stock,Article référencé ajouté au stock,
Refresh table,Actualiser le tableau,
Register,Enregistrer,
Released,Diffusé,
Requested Article,Article demandé,
Retail,Revente,
Retired,Retiré,
Retour Compos,Compositions de retour,
Retour Items,Éléments de retour,
Retour et Inventaire,Retour et Inventaire,
Return,Retour,
Revision Date,Date de révision,
Right,Droit,
Rules,Règles,
SS,SS,
Second file,Deuxième fichier,
Sent BoM,Nomenclature envoyée,
Sent Items,Éléments envoyés,
Sent quantity,Quantité envoyée,
Serial No,N° de série,
Shipped,Expédié,
Shipping Date,Date d'expédition,
Short Name,Nom court,
Shortname,Nom court,
Sold,Vendu,
Source Location,Localisation source,
Source place,Emplacement source,
Split Item,Scinder l'article,
Standard Periodicity 🕑,Périodicité standard 🕑,
Starting Date,Date de début,
Status,Statut,
Stock,Stock,
Stock Entry,Entrée de stock,
Stock Entry saved,Entrée de stock enregistrée,
Stock rules,Règles de stock,
Substitute Article,Article de substitution,
Substitutes,Substituts,
Supplier,Fournisseur,
Supplier Reference,Référence fournisseur,
Supplier reference,Référence fournisseur,
Suppliers,Fournisseurs,
Surname,Nom de famille,
System Health,État du système,
System Manager,Gestionnaire système,
Target Location,Localisation cible,
Terminated,Terminé,
"The article has no quantity, add some before doing this",L'article n'a pas de quantité,
The periodicity is not assigned in the article document,La périodicité n'est pas renseignée dans la fiche article,
"This composition comes from a validated DMC, please use the dedicated tab to modify it",Cette composition provient d'une DMC validée,
To,À,
Total Quantity,Quantité totale,
Total expected,Total attendu,
Total maximum,Total maximum,
Total minimum,Total minimum,
Tracked article transfered with success,Article suivi transféré avec succès,
Transfert,Transfert,
Treated,Traité,
Try to add in null quantity theses articles,Tentative d'ajout de ces articles en quantité nulle,
Type,Type,
Unavailable,Indisponible,
Une erreur est survenue : probleme sur les autonames,Une erreur est survenue : probleme sur les autonames,
Unit,Unité,
Units,Unités,
VGP,VGP,
Validated,Validé,
Value,Valeur,
Waiting,En attente,
Warehouse settings,Paramètres d'entrepôt,
Warranty Term,Durée de garantie,
Website,Site web,
Which are issued,Qui sont émis,
You can't have more than one periodicity,Vous ne pouvez pas avoir plus d'une périodicité,
You can't have more than one retail easement,Vous ne pouvez pas avoir plus d'une facilité de revente,
"You need to add multiple lines for each serial number, you can't reserve more than one of the same serial number",Vous devez ajouter plusieurs lignes pour chaque numéro de série,
You need to add reference details in the table,Vous devez ajouter les détails de référence dans le tableau,
You need to add some places in the table,Vous devez ajouter des emplacements dans le tableau,
