About,O,
Add,Dodaj,
Address,Adresa,
Amended From,Izmijenjeno od,
Category,Kategorija,
City,Grad,
Client,Klijent,
Contact,Kontakt,
Contacts,Kontakti,
Country,Zemlja,
Description,Opis,
Designation,Pozicija,
Details,Detalji,
Draft,Nacrt,
Email,E-pošta,
End Date,Datum Završetka,
Events,Događaji,
External,Eksterni,
Frappe Support,Frappe Podrška,
Full Name,Puno Ime,
General,Općenito,
Is Active,Aktivan,
Is Group,Grupa,
Items,Artikli,
Keyboard Shortcuts,Prečice Tastature,
Left,Lijevo,
Location,Lokacija,
Name,Naziv,
Other,Ostalo,
Phone,Telefon,
Position,Pozicija,
Progress,Napredak,
Project,Projekat,
Provider,Davatelj,
Reason,Razlog,
Right,Desno,
Rules,Pravila,
Status,Status,
System Health,Status Sistema,
System Manager,Upravitelj Sistema,
To,Za,
Type,Tip,
Value,Vrijednost,
Website,Web Stranica,
