About,Om,
Add,Legg til,
Address,Adresse,
Amended From,Korrigert fra,
Category,Kategori,
City,Poststed,
Contact,Kontakt,
Country,Land,
Description,Beskrivelse,
Designation,Beskrivelse,
Details,Detaljer,
Draft,Utkast,
Email,E-post,
End Date,Sluttdato,
Events,Hendelser,
Frappe Support,Frappe-støtte,
Full Name,Fullt navn,
General,Generell,
Is Active,Er aktiv,
Is Group,Er gruppe,
Items,Artikler,
Keyboard Shortcuts,Tastatursnarveier,
Left,Venstre,
Location,Sted,
Name,Navn,
Phone,Telefon,
Progress,Fremgang,
Project,Prosjekt,
Reason,Årsak,
Right,Høyre,
Rules,Regler,
Status,Status,
System Health,Systemhelse,
System Manager,Systemansvarlig,
To,Til,
Type,Type,
Value,Verdi,
Website,Nettsted,
