About,O,
Add,Dodaj,
Address,Adresa,
Amended From,Izmenjeno iz,
Category,Kategorija,
City,Grad,
Client,Klijent,
Contact,Kontakt,
Contacts,Kontakti,
Country,Država,
Description,Opis,
Designation,Titula,
Details,Detalji,
Draft,Nacrt,
Email,Imejl,
End Date,Datum završetka,
Events,Događaji,
External,Eksterni,
Frappe Support,Frappe podrška,
Full Name,Ime i prezime,
General,Opšte,
Is Active,Aktivno,
Is Group,Grupa,
Items,Stavke,
Keyboard Shortcuts,Prečice na tastaturi,
Left,Levo,
Location,Lokacija,
Name,Naziv,
Other,Ostalo,
Phone,Telefon,
Position,Pozicija,
Progress,Napredak,
Project,Projekat,
Provider,Provajder,
Reason,Razlog,
Right,Desno,
Rules,Pravila,
Status,Status,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
To,Za,
Type,Vrsta,
Value,Vrednost,
Website,Veb-sajt,
