About,关于,
Add,添加,
Address,地址,
Amended From,修订自(上一版单据编号),
Category,类别,
City,城市,
Client,客户端,
Contact,联系人,
Contacts,联系人,
Country,国家,
Description,描述,
Designation,职位,
Details,详细信息,
Draft,草稿,
Email,邮件,
End Date,结束日期,
Events,事件,
External,外部,
Frappe Support,Frappe支持,
Full Name,全名,
General,正常,
Is Active,生效,
Is Group,是否分组,
Items,物料,
Keyboard Shortcuts,键盘快捷键,
Left,左对齐,
Location,地点,
Name,名称,
Other,其他,
Phone,电话,
Position,位置,
Progress,进展,
Project,项目,
Provider,供应商,
Reason,原因,
Right,右对齐,
Rules,规则,
Status,状态,
System Health,系统健康状态,
System Manager,系统管理员,
To,收件人,
Type,类型,
Value,值,
Website,网站,
